;2P;2PA;2P_p;3P;3PA;3P_p;AST;BLK;DRB;FG;FGA;FG_p;FT;FTA;FT_p;G;GS;MP;ORB;PF;PTS;STL;TOV;TRB;eFG_p
Rashard Lewis;3.7;7.5;.491;1.7;4.4;.386;1.7;0.5;3.8;5.4;11.9;.452;2.4;3.0;.805;1049;842;32.0;1.4;2.3;14.9;1.1;1.5;5.2;.524
Rasheed Wallace;4.7;9.3;.508;1.0;2.9;.336;1.8;1.3;5.3;5.7;12.2;.467;2.1;2.9;.721;1109;956;32.7;1.4;2.9;14.4;1.0;1.5;6.7;.507
Ray Allen;4.3;8.9;.485;2.3;5.7;.400;3.4;0.2;3.1;6.6;14.6;.452;3.4;3.8;.894;1300;1149;35.6;0.9;2.2;18.9;1.1;2.1;4.1;.530
Richard Hamilton;5.9;12.8;.463;0.6;1.7;.346;3.4;0.1;2.2;6.5;14.4;.449;3.5;4.1;.852;921;783;32.1;0.9;2.5;17.1;0.8;2.1;3.1;.469
Roy Hibbert;4.1;8.9;.464;0.0;0.0;.250;1.4;1.8;4.1;4.1;8.9;.463;2.1;2.8;.753;614;573;25.6;2.4;3.2;10.4;0.4;1.6;6.5;.463
Russell Westbrook;6.7;14.4;.461;0.9;2.9;.302;7.6;0.3;3.9;7.5;17.3;.435;5.6;6.8;.818;587;570;34.0;1.7;2.4;21.5;1.7;3.7;5.6;.460
Sam Cassell;5.1;10.6;.477;0.7;2.0;.331;6.0;0.2;2.6;5.7;12.6;.454;3.6;4.2;.861;993;690;30.0;0.6;2.8;15.7;1.1;2.4;3.2;.480
Shaquille O'Neal;9.4;16.1;.583;0.0;0.0;.045;2.5;2.3;7.4;9.4;16.1;.582;4.9;9.3;.527;1207;1197;34.7;3.5;3.4;23.7;0.6;2.7;10.9;.582
Shareef Abdur-Rahim;6.4;13.2;.480;0.2;0.6;.297;2.5;0.8;5.3;6.5;13.9;.472;4.8;6.0;.810;830;704;34.8;2.3;2.8;18.1;1.0;2.6;7.5;.479
Shawn Marion;5.6;10.9;.513;0.7;2.1;.331;1.9;1.1;6.3;6.3;12.9;.484;2.0;2.5;.810;1163;1062;34.5;2.3;2.2;15.2;1.5;1.5;8.7;.510
Stephen Curry;4.7;9.3;.503;3.2;7.3;.444;6.9;0.2;3.6;7.9;16.6;.477;3.4;3.7;.902;495;489;34.9;0.7;2.5;22.4;1.8;3.2;4.3;.574
Stephon Marbury;5.6;12.1;.465;1.2;3.6;.325;7.6;0.1;2.3;6.8;15.7;.433;4.5;5.7;.784;846;816;37.7;0.7;2.4;19.3;1.2;3.0;3.0;.470
Steve Francis;5.2;11.4;.451;1.0;2.9;.341;6.0;0.4;3.9;6.2;14.4;.429;4.8;6.1;.797;576;543;37.6;1.7;3.1;18.1;1.5;3.5;5.6;.463
Steve Nash;3.8;7.4;.518;1.4;3.2;.428;8.5;0.1;2.5;5.2;10.6;.490;2.5;2.8;.904;1217;1053;31.3;0.5;1.6;14.3;0.7;2.9;3.0;.556
Steve Smith;3.7;7.7;.476;1.2;3.4;.358;3.1;0.3;2.1;4.9;11.1;.440;3.3;3.8;.845;942;717;30.6;1.2;2.4;14.3;0.8;1.8;3.2;.494
Terrell Brandon;4.9;10.5;.462;0.5;1.5;.355;6.1;0.3;2.4;5.4;12.0;.448;2.5;2.8;.873;724;480;29.8;0.6;1.8;13.8;1.6;2.0;3.0;.471
Theo Ratliff;2.7;5.5;.496;0.0;0.0;.000;0.6;2.4;3.8;2.7;5.5;.496;1.7;2.4;.710;810;533;25.3;1.9;2.8;7.2;0.5;1.2;5.7;.496
Tim Duncan;7.4;14.5;.509;0.0;0.1;.179;3.0;2.2;8.1;7.4;14.6;.506;4.2;6.1;.696;1392;1389;34.0;2.8;2.4;19.0;0.7;2.4;10.8;.507
Tom Gugliotta;4.8;10.3;.467;0.3;1.0;.284;2.8;0.6;5.2;5.1;11.3;.451;2.5;3.4;.757;763;608;30.9;2.1;2.5;13.0;1.4;2.3;7.3;.463
Tony Parker;6.2;12.0;.513;0.4;1.3;.327;5.9;0.1;2.5;6.6;13.3;.494;2.9;3.9;.753;1080;1067;32.1;0.4;1.7;16.6;0.9;2.4;2.9;.511
Tracy McGrady;6.0;13.0;.461;1.2;3.4;.338;4.4;0.9;4.2;7.2;16.4;.435;4.1;5.5;.746;938;703;32.7;1.4;1.8;19.6;1.2;2.2;5.6;.470
Tyrone Hill;3.5;7.0;.503;0.0;0.0;.000;0.8;0.5;5.6;3.5;7.0;.502;2.3;3.6;.643;801;610;28.0;3.0;3.6;9.4;0.8;1.6;8.6;.502
Tyson Chandler;3.3;5.5;.592;0.0;0.0;.000;0.9;1.3;6.1;3.3;5.5;.591;2.2;3.4;.644;986;783;28.5;3.2;2.9;8.7;0.6;1.5;9.3;.591
Vin Baker;5.9;12.0;.490;0.0;0.2;.215;1.9;1.0;4.6;5.9;12.2;.485;3.1;4.8;.638;791;604;32.5;2.9;3.2;15.0;0.7;2.2;7.4;.487
Vince Carter;5.3;11.5;.462;1.5;4.1;.373;3.4;0.6;3.4;6.8;15.5;.439;3.7;4.6;.800;1274;954;32.4;1.2;2.8;18.8;1.1;1.9;4.6;.488
Wally Szczerbiak;4.4;8.8;.505;0.9;2.2;.406;2.4;0.2;3.0;5.4;11.0;.485;2.5;2.9;.860;651;393;30.8;1.0;2.1;14.1;0.6;1.5;4.0;.526
Yao Ming;7.0;13.2;.525;0.0;0.0;.200;1.6;1.9;6.7;7.0;13.3;.524;5.1;6.1;.833;486;476;32.5;2.5;3.3;19.0;0.4;2.7;9.2;.525
Zach Randolph;6.6;13.8;.480;0.1;0.5;.260;1.8;0.3;6.3;6.8;14.3;.473;3.3;4.4;.765;984;820;31.8;3.0;2.4;17.0;0.8;2.1;9.4;.477
Zydrunas Ilgauskas;5.0;10.4;.478;0.0;0.1;.310;1.1;1.6;4.4;5.0;10.5;.476;3.0;3.8;.780;843;724;27.2;2.9;3.3;13.0;0.5;1.8;7.3;.478
